Algorithm,BoW,BoWBi,TfIdf
Gaussian NB,0.4130840479833916,0.4068105548950894,0.44084640698807825
Multinomial NB,0.5770619060081098,0.4707424107547659,0.5701299709091912
Decision Tree,0.4976720244008499,0.4317389725588492,0.48894297941690895
SVM,0.5871597129360764,0.4720607568429343,0.6613918628186176
AdaBoost,0.5058628299126986,0.4179353111203541,0.4976178552852552
ANN,0.584506441602881,0.4571185691855167,0.6074949481016497
