Algorithm,BoW,BoWBi,TfIdf
Gaussian NB,0.5621318716847321,0.5621651556732388,0.5877402363957523
Multinomial NB,0.7038215928245647,0.6170933752131809,0.6967070564788325
Decision Tree,0.6434088762702024,0.5797069341612804,0.6336756930392328
SVM,0.7187119697058196,0.619196736013025,0.7771822256420796
AdaBoost,0.6477421097163432,0.5652402591763923,0.6386553507155176
ANN,0.7154945658183888,0.604338923367805,0.7344935635448607
